PDCPBytesDL,PDCPBytesUL,PRBUsageDL,PRBUsageUL,cellid,MeasTimestampRF
2270000,1129888,230,74,555008,2020-10-28 13:44:33.671668
1770000,1059054,215,57,555008,2020-10-28 13:44:33.681668
1974000,1007888,215,65,555008,2020-10-28 13:44:33.691668
1810000,972332,218,72,555008,2020-10-28 13:44:33.701668
1390000,901498,196,54,555008,2020-10-28 13:44:33.711668
2510000,1175166,235,79,555008,2020-10-28 13:44:33.721668
1760000,950054,213,65,555008,2020-10-28 13:44:33.731668
1379000,959498,195,51,555008,2020-10-28 13:44:33.741668
1650000,933776,204,63,555008,2020-10-28 13:44:33.751668
1620000,930054,209,72,555008,2020-10-28 13:44:33.761668
1480000,803776,204,63,555008,2020-10-28 13:44:33.771668
1740000,1010054,211,63,555008,2020-10-28 13:44:33.781668
1137000,724498,184,43,555008,2020-10-28 13:44:33.791668
1733000,853532,198,70,555008,2020-10-28 13:44:33.801668
2104000,1042166,220,78,555008,2020-10-28 13:44:33.811668
2200000,1076610,223,74,555008,2020-10-28 13:44:33.821668
1740000,1038054,213,62,555008,2020-10-28 13:44:33.831668
1899000,961610,210,85,555008,2020-10-28 13:44:33.841668
2250000,1064610,225,84,555008,2020-10-28 13:44:33.851668
1220000,851498,197,53,555008,2020-10-28 13:44:33.861668
2030000,1053610,225,74,555008,2020-10-28 13:44:33.871668
2060000,1118610,225,68,555008,2020-10-28 13:44:33.881668
1150000,859498,197,51,555008,2020-10-28 13:44:33.891668
1615000,907054,200,55,555008,2020-10-28 13:44:33.901668
1790000,975776,210,54,555008,2020-10-28 13:44:33.911668
1710000,966054,211,61,555008,2020-10-28 13:44:33.921668
2010000,1054610,223,72,555008,2020-10-28 13:44:33.931668
2110000,1114332,220,75,555008,2020-10-28 13:44:33.941668
1870000,1033776,210,63,555008,2020-10-28 13:44:33.951668
2190000,1059610,225,74,555008,2020-10-28 13:44:33.961668
1660000,769776,202,59,555008,2020-10-28 13:44:33.971668
2230000,1032888,226,83,555008,2020-10-28 13:44:33.981668
1920000,1066610,221,77,555008,2020-10-28 13:44:33.991668
2070000,1055610,225,78,555008,2020-10-28 13:44:34.001668
1510000,931498,203,59,555008,2020-10-28 13:44:34.011668
2110000,1104332,220,69,555008,2020-10-28 13:44:34.021668
1700000,1079054,215,62,555008,2020-10-28 13:44:34.031668
1960000,1068054,215,62,555008,2020-10-28 13:44:34.041668
